site_id,Centre name,Phone number,Opening hours,longitude,latitude,test_capacity
61,Hurstville Community Health Centre,(02) 9570 0500,"9am-4pm, Monday - Friday",151.2004433,-33.9014313,80
62,John Hunter Hospital,(02) 4921 3000,"8am-10.30pm, 7 days",151.2004433,-33.9014313,90
63,Kempsey Health Campus,1300 001 956,"8am-12pm, Monday-Friday",152.81861961513957,-31.067751981521678,80
64,​Leeton District Hospital,(02) 6953 1111,"​2pm-4pm, Monday-Friday",151.2004433,-33.9014313,80
65,Lismore Base Hospital,(02) 6624 0200,"10am-6pm, 7 days",153.2860348150867,-28.80973358234812,50
66,Lithgow Hospital,Booking required via (02) 6350 2300,"10am-3:00pm, 7 days",150.12659881520065,-33.500163080759684,100
67,Liverpool Hospital,(02) 8738 3000,"10am-5:30pm, Monday-Friday 10am–3pm, Saturday & Sunday",151.2004433,-33.9014313,50
68,​Maitland Hospital,(02) 4939 2000,"​10am-4pm, Monday-Friday",151.2004433,-33.9014313,50
69,​Manning Hospital (Drive-through clinic),Call prior to visiting on 02 6592 9850,"8am-4pm, 7 days",152.45295901516022,-31.910424981242233,90
70,Mona Vale Hospital,(02) 9998 6300 ​,"10am-6pm, 7 days",151.30410881520538,-33.686999280706935,50
71,Mooree Hospital,Screening required on (02) 6757 0000,"10am-3pm, Mon to Fri (closed from 12-1)",149.83774121510183,-29.470897382094552,60
72,Nepean Hospital,(02) 4734 2000,"10:30am-6pm, 7 days",150.71276861520732,-33.761547280686116,100
73,Northern Beaches Hospital,(02) 9105 5000,"9:30am-6pm, 7 days",151.23083581520712,-33.751156880688946,50
74,Orange Hospital,(02) 6369 3000,"10am-6pm, Monday-Friday",149.09176651519587,-33.31732678081224,100
75,Port Macquarie Base Hospital,1300 001 956,"10am-4pm, Monday- Friday 10am-2pm Saturday-Sunday",152.87372541514898,-31.452854381391898,80
76,Prince of Wales Hospital (Building 14B),(02) 9650 4000,"10am-8pm, 7 days",151.23871371521145,-33.918512280642545,50
77,Queanbeyan Hospital (Booking required),Call ahead on 1800 999 880,"8:30am-12:30am, Monday-Saturday",149.23023981524975,-35.34749258027343,80
78,Redfern Health Centre Clinic,(02) 9395 0444,"9am-4pm, Monday-Friday",151.20115291521086,-33.89307238064963,50
79,Royal North Shore Hospital,(02) 9926 7111,"8am-8pm, 7 days",151.18709891520894,-33.819225780669974,70
80,Royal Prince Alfred Hospital,(02) 9515 6111,"8am-9pm, 7 days",151.18091961521074,-33.88913768065069,50
81,Ryde Hospital,(02) 9858 7888,"10am-8pm, 7 days",151.08692721520825,-33.79351838067708,100
82,Scone Hospital (Drive-through clinic),(02) 6540 2100,"​1:30pm-3:30pm, Monday-Friday",150.87386141516376,-32.05191198119696,80
83,Shellharbour Hospital,(02) 4295 2500,"8am-5pm, 7 days",150.8402893152285,-34.5579987804713,100
84,​Shoalhaven Hospital​,(02) 4423 9500,"​​8am-4:30pm, 7 days",150.59843901523675,-34.867862580391865,90
85,Bega Valley Health Service (Booking required),Please call ahead on 1800 999 880,"11am-2pm, Monday-Saturday",151.2004433,-33.9014313,90
86,​Singleton Hospital (Drive-through clinic),Please call ahead on (02) 6571 9248,"​1:30pm-3:30pm, Monday-Friday",151.2004433,-33.9014313,70
87,St George Hospital,(02) 9113 1111,"8am-6pm, 7 days",151.2004433,-33.9014313,90
88,St Vincent's Hospital,(02) 8382 1111,"9am-4pm, 7 days",151.2004433,-33.9014313,60
89,Summer Hill (Drive-through clinic),-,"​8:30am-4pm, 7 days ​",151.12920651521065,-33.890442980650306,90
90,Sydney and Sydney Eye Hospital,(02) 9382 7111,"10am-6pm, Monday-Friday​",151.2004433,-33.9014313,70
91,Sydney Children’s Hospital,(02) 9382 1111,"10am-8pm, 7 days",151.2004433,-33.9014313,100
92,The Canterbury Hospital,(02) 9787 0000,"8am-10pm, 7 days",151.09625186521163,-33.919433630642196,100
93,The Children’s Hospital at Westmead,(02) 9845 0000,"10am-8pm, 7 days",151.2004433,-33.9014313,90
94,The Hub in Miller (Pop-up clinic),(02) 9608 8920,"10am-2pm, Monday-Friday (Until 1 May 2020)",150.88089641521162,-33.920261280642016,100
95,The Sutherland Hospital,(02) 9540 7111,"8am-8pm, 7 days",151.11108301521452,-34.035183080610494,60
96,The Tweed Hospital,(07) 5506 7000,"10am-6pm, 7 days",151.2004433,-33.9014313,90
97,​Tumut Hospital (Booking required),Booking required via 1800 831 099,"12pm-4pm, Mon-Fri",148.21705231524862,-35.30750098028313,100
98,Wagga Wagga Clinic (Booking required),Booking required via 1800 831 099,"9am-4:45pm, Monday-Friday 9am-2pm Saturday-Sunday",147.35630781524353,-35.118509380329286,80
99,Westmead Hospital,(02) 8890 5555,"7am-9pm, 7 days",151.2004433,-33.9014313,50
100,Wollongong Hospital,(02) 4222 5000,"8am-5pm, 7 days",151.2004433,-33.9014313,60
101,Wyong Hospital,(02) 4394 8000,"9am-5pm, 7 days a week",151.4685770151946,-33.2638430808279,100
102,Darlinghurst Respiratory Clinic,-,Book an appointment online,151.21207438403997,-33.87941619045109,90
103,Lakemba Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,70
104,Blacktown Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,90
105,Riverstone Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,100
106,Campbelltown Respiratory Clinic,-,Book an appointment online,150.8102799152154,-34.0682524806016,90
107,Penrith Respiratory Clinic,-,Book an appointment online,150.6707348152077,-33.76989658068363,60
108,Mittagong Respiratory Clinic,(02) 4800 9032,Book an appointment online,150.4408701152257,-34.452328680498916,60
109,Raymond Terrace Respiratory Clinic,(02) 4938 0900,Book an appointment online,151.73793131518178,-32.76469398097579,70
110,Wagga Wagga Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,50
111,Murwillumbah Respiratory Clinic,-,Book an appointment online,153.39402261507584,-28.32902668253849,50
