id,name,category,num_beds,address,suburb,state,postcode,longitude,latitude,comment,website
12,Mount Druitt Hospital,Hospital,134.6,75 Railway Street,MOUNT DRUITT,NSW,2770,150.8312225,-33.76501465,"Mt Druitt Hospital is a teaching hospital of the University of Western Sydney. Blacktown and Mt Druitt hospitals work in a unique partnership to provide health care to residents in the Blacktown LGA.  Mount Druitt Hospital is part of Western Sydney Local Health District.  http://www.wslhd.health.nsw.gov.au//  Services we provide: Heart, Gastroenterology, General Medicine, Infectious Diseases, Paediatrics, Palliative Care, Rehabilitation, Respiratory,  Breast screening   Admin Hours: 8am to 5pm Monday to Friday  General Wards: 10:00am- 8:00pm  Children's Ward: 10.00am - 12.30pm  Rest Period 12.30pm - 2.30pm  2.30pm - 8.00pm    Intensive Care Unit 11:00am - 1:30pm; 5:30pm - 8:00pm  Palliative Care Unit Open Visiting 24 Hrs.",http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital
13,Forster Private Hospital,Hospital,,5A South Street,FORSTER,NSW,2428,152.51373,-32.188433,,forsterprivate.com.au
14,The Children's Hospital at Westmead,Hospital,287.5,Corner Hawkesbury Road and Hainsworth Street,WESTMEAD,NSW,2145,150.9918823,-33.80149078,"The Children's Hospital at Westmead is a stand-alone service dedicated to paediatrics. It provides a range of services. Services include hospital services and emergency department  The Children's Hospital at Westmead is part of the Sydney Children's Hospitals Speciality Network.  Services include: General Medicine, General Surgery, Haematology, Infectious Diseases, Kidney Medicine, Neurology, Orthopaedics and Respiratory Medicine.  Visiting Hours: Generally between 10.00am to 12.00pm and between 2:00pm and 7:00pm. However, there are individual arrangements for Intensive Care and the Grace Centre for Newborn Care.  Admin Hours: 24hours",http://www.schn.health.nsw.gov.au/
15,ST JOSEPH'S HOSPITAL,Hospital,69.2,"St Josephs Hospital, 2A Normanby Road",AUBURN,NSW,2144,151.0282288,-33.84865952,"St Joseph's Hospital is an affiliated health organisation 3rd Schedule Hospital under the care of the Sisters of Charity.  St Joseph's Hospital is part of ^St Vincent's Health Network|| http:// http://www.stvincents.com.au//^   Services we provide: Geriatric, Palliative Care, Rehabilitation.  Visiting Hours: Medical Rehabilitation Unit: 1pm - 8pm  Aged Care Psychiatry & Neurosciences Unit: 10am - 8pm  Aged Care Assessment & Rehabilitation Unit: 1pm - 8pm  Palliative Care Unit - No visiting between: 1pm - 3pm  Only immediate family - after 8pm.   Admin Hours: 7:30 to 5pm Monday to Friday  Hospital personnel: Leigh Trevillian Director of Geriatric Medicine 02 6620 2353  Hospital Information: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.stvincents.com.au/
16,Jerilderie Multi Purpose Service,Hospital,15,33 39 Southey Street,JERILDERIE,NSW,2716,145.7190704,-35.35694122,Jerilderie Multi Purpose Service is an Aged and Acute Care Facility. The Facility maintains a 24 hour Emergency Department. The Community Health Centre is located at the same address.,
17,War Memorial Hospital,Hospital,35,125 Birrell Street,WAVERLEY,NSW,2024,151.2531586,-33.89642715,"Uniting War Memorial Hospital is an affiliated public health organisation, operated by Uniting and part of South Eastern Sydney Local Health District. The primary role of the hospital is rehabilitation and assessment services for people aged over 60 years. Services include rehabilitation inpatient care, outpatient departments, several specialist clinics and community teams.",http://www.wmhw.org.au/
18,The Maitland Hospital,Hospital,174.3,550 560 High Street,MAITLAND,NSW,2320,151.5459442,-32.72603607,"The Maitland Hospital is a health facility for the Upper and Lower Hunter regions and serves the cities and towns of Maitland, Cessnock, Kurri Kurri, Singleton, Muswellbrook, Dungog and Raymond Terrace.   The Maitland Hospital is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: General Medicine, Maternity, Mental Health, Orthopaedics  Admin Hours: 6:30am to 11pm Monday to Friday diver  Visiting Hours: 11:00am to 1:00pm and 3:00pm to 7:30pm  Hospital personnel: Trish Wilson General Manager 02 4939 2000  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
19,Greenwich Hospital,Hospital,38.2,97 115 River Road,GREENWICH,NSW,2065,151.1835785,-33.82741547,"Greenwich Hospital is part of ^ Northern Sydney Local Health District.|| http://www.nslhd.health.nsw.gov.au//^   Services we provide:  Palliative Care, Rehabilitation  Admin Hours: 8am to 4:30pm Monday to Friday  Hospital Performance Report:  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.nslhd.health.nsw.gov.au/
20,The Sydney Clinic,Hospital,,22 24 Murray Street,BRONTE,NSW,2024,151.2609711,-33.90145493,Services include hospital services,
21,Holbrook District Hospital,Hospital,26,30 Bowler Street,HOLBROOK,NSW,2644,147.3169098,-35.72343445,"Holbrook Health Services includes 10 acute and 16 aged care beds. A range of community health services and other various services are also provided.  Holbrook District Hospital is part of ^Murrumbidgee Local Health District.|| http://www.mlhd.health.nsw.gov.au//^   Services we provide: General Medicine.  Visiting Hours: Acute: 10:00am – 1:00pm and 2.30pm – 8:00pm.  Residential Aged Care: 10:00am – 8:00pm.   Admin Hours: 8am to 4.30pm Monday to Friday  Hospital personnel: Karen Solah Facility Manager 02 6036 2522  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.mlhd.health.nsw.gov.au/
22,Peak Hill Multi Purpose Service,Hospital,4,4746 Newell Highway,PEAK HILL,NSW,2869,148.1891022,-32.70864105,"Our Multi-purpose service was developed to provide continuity of care and a balanced mix of services appropriate to meeting local health care needs in our community. MPS's integrate a range of health services, including acute care, subacute care (including respite and palliative care), emergency, aged care ,  allied health, oral health, primary health and community services. Please contact our service for further information on specific services we offer.",http://www.wnswlhd.health.nsw.gov.au/
23,SYDNEY ADVENTIST HOSPITAL,Hospital,,185 Fox Valley Road,WAHROONGA,NSW,2076,151.0986633,-33.73284149,,www.sah.org.au
24,HUNTERS HILL PRIVATE HOSPITAL,Hospital,,9 Mount Street,HUNTERS HILL,NSW,2110,151.1501923,-33.8352623,"surgical, medical, elective surgery and day surgery",http://www.huntershillprivate.com.au/
25,St Vincent's Hospital,Hospital,431.5,390 Victoria Street,DARLINGHURST,NSW,2010,151.2204742,-33.88022995,"St Vincent's is Australia's second oldest hospital. The hospital operates a major Emergency Department, providing trauma services for the Sydney CBD.  St Vincent's Hospital is part of ^St Vincent's Health Network.|| http:// http://www.stvincents.com.au//^   Services we provide: Heart, Drug & Alcohol, General Medicine, General Surgery, Infectious Diseases, Kidney Medicine, Neurology, Orthopaedics, Respiratory.  Admin Hours: 8:30am to 5pm Monday to Friday  Visiting Hours: 10:00am – 1:00pm and 3:00pm-8:00pm.  No visiting in rest time: 1:00pm – 3:00pm.  Hospital Information: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",https://www.svhs.org.au/
26,Macquarie University Hospital,Hospital,195,3 Technology Place,MACQUARIE UNIVERSITY,NSW,2109,151.1180267,-33.77377319,Surgical Hospital only - by appointment  After-Hours Arrangements:  Please call 13SICK on 13 74 25  Weekdays: 6PM to 8AM Weekends: 12PM (midday) to 8AM Monday Public Holidays: 24 Hours.,
27,Temora Hospital,Hospital,34,169-189 Loftus Street,TEMORA,NSW,2666,147.5432434,-34.44304657,"Temora Health Service includes a 34 bed hospital delivering maternity, surgical, aged care and various other services.   Temora Hospital is part of ^Murrumbidgee Local Health District.|| http://www.mlhd.health.nsw.gov.au//^   Services we provide: General Surgery, Maternity, Respiratory.  Admin hours 8:30am to 5pm Monday to Friday  Visiting Hours: Ward 1: General - 10am - 12.30pm and 2.30pm - 8pm.  Ward 2: Maternity - 10am - 12.30pm and 2.30pm - 8pm.   Hospital personnel: Maureen Lynch Facility Manager 02 6980 0200  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.mlhd.health.nsw.gov.au/
28,South Coast Private,Hospital,82,112 Burelli Street,WOLLONGONG,NSW,2500,150.8901672,-34.42600632,Total number of beds: 82,http://www.southcoastprivate.com.au/
29,Bathurst Hospital,Hospital,116,"Bathurst Base Hospital, 361-365 Howick Street",BATHURST,NSW,2795,149.5736847,-33.40927505,"Bathurst Hospital provides a range of services including emergency, acute care, Gastroenterology, General Medicine, General Surgery, Kidney Medicine, Maternity, Rehabilitation, Respiratory.",http://www.wnswlhd.health.nsw.gov.au/
30,Queanbeyan District Hospital,Hospital,50.2,Corner Erin and Collett Street,QUEANBEYAN,NSW,2620,149.2326355,-35.34685135,"Queanbeyan District Hospital provides acute care and primary care services as well as other services throughout the year. Services include:  A range of acute medical and community health services including an emergency department, an inpatient unit, maternity services, general surgery, community dental, allied health, mental health and support services.  Queanbeyan District Hospital is part of ^Southern NSW Local Health District.|| http://www.snswlhd.health.nsw.gov.au//^   Services we provide:  Heart, General Medicine, General Surgery, Maternity.  Admin Hours: Reception from 8:30am to 5pm  Emergency Clerk available from 5pm till 10pm  Visiting Hours: Maternity Ward – flexible visiting hours.  Medical and Surgical Ward – 10:00am to 12:00pm and 2:00pm to 8:00pm.  Hospital personnel: Judith Sullivan Director of Nursing and Midwifery 02 6128 9850 Julie Asprey Patient Care Representative 02 6128 9888 Kim Bradshaw Health Service Manager 02 6298 9280  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.snswlhd.health.nsw.gov.au/
31,Armidale Rural Referral Hospital,Hospital,99,226 Rusden Street,ARMIDALE,NSW,2350,151.6550751,-30.51285934,"Armidale Rural Referral Hospital is a 99 bed rural referral hospital The Hospital provides acute health care services to residents of Armidale and surrounding towns.  Armidale Rural Referral Hospital is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^    Services we provide: Gastroenterology, General Medicine, Haematology, Kidney Medicine, Maternity, Mental Health, Ophthalmology, Orthopaedics, Respiratory  Admin Hours: 8:30am to 5pm Monday to Friday  Visiting Hours: 11.00 a.m. - 8.00 p.m  Between 1.30pm - 3.30pm some wards are closed to encourage patients to rest.   Hospital personnel: Dona Withnell General Manager 02 6776 9500 Peter Finlayson Executive Medical Doctor 02 6767 7700 Wendy Mulligan Cluster General Manager 02 6776 9600   For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
32,Mayo Private Hospital,Hospital,81,Potoroo Drive,TAREE,NSW,2430,152.4318543,-31.88288498,Total number of beds: 81  Reception open 7am-6pm,www.mayoprivate.com.au
33,Lightning Ridge Multi Purpose Service,Hospital,24.1,23 Pandora Street,LIGHTNING RIDGE,NSW,2834,147.9819794,-29.42996788,"Our Multi-purpose service was developed to provide continuity of care and a balanced mix of services appropriate to meeting local health care needs in our community. MPS's integrate a range of health services, including acute care, subacute care (including respite and palliative care), emergency, aged care ,  allied health, oral health, primary health and community services. Please contact our service for further information on specific services we offer.",https://wnswlhd.health.nsw.gov.au/
34,Wollongong Private Hospital,Hospital,,360-364 Crown Street,WOLLONGONG,NSW,2500,150.8812561,-34.4258194,,http://www.wollongongprivate.com.au/
35,Yass District Hospital,Hospital,10,145-147 Meehan Street,YASS,NSW,2582,148.9068298,-34.84396744,"Yass Health Service is a community hospital with a comprehensive community health service. A 10 bed hospital serves its local community of more than 14,000 residents in a growth area of NSW. Services include: Hospital services and emergency services. Yass District Hospital is part of ^Southern NSW Local Health District.|| http://www.snswlhd.health.nsw.gov.au//^   Services we provide:  Dental, General Medicine.  Visiting Hours: 11:00am – 12:00pm and 2:00pm – 8:00pm.  Admin hour: 8:30am to 5pm Monday to Friday  Hospital personnel: Elizabeth Darmoody Nurse Manager 02 6220 2000  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",www.snswlhd.health.nsw.gov.au
36,Narrandera District Hospital,Hospital,34,Adams and Douglas Street,NARRANDERA,NSW,2700,146.5484772,-34.74393082,"Narrandera Health Service includes a 34 bed hospital offering emergency, maternity, surgical as well as other various services to the local community.  Narrandera District Hospital is part of ^Murrumbidgee Local Health District.|| http://www.mlhd.health.nsw.gov.au//^   Services we provide: Drug & Alcohol, General Medicine, General Surgery, Maternity, Respiratory.  Admin Hours: 8am to 5pm Monday to Friday   Visiting Hours: 11:00am – 12:00pm and 2:00pm – 8:00pm.  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.mlhd.health.nsw.gov.au/
37,St George Private Hospital,Hospital,,1 South Street,KOGARAH,NSW,2217,151.1360779,-33.9669075,Service includes hospital services,www.stgeorgeprivate.com.au
38,Longueville Private Hospital,Hospital,,47 Kenneth Street,LONGUEVILLE,NSW,2066,151.1697693,-33.82740784,,http://www.iphoa.com.au/contactLonguevillePriv.asp
39,Sydney Children's Hospital - Randwick,Hospital,145.1,High Street,RANDWICK,NSW,2031,151.2333527,-33.91591644,"Sydney Children's Hospital (SCH) located at Randwick is a leading tertiary referral hospital for children, one of three paediatric hospitals in NSW. The Hospital provides the most complex and comprehensive range of services in paediatric and adolescent medicine, surgery and trauma.  Sydney Children's Hospital is part of ^Sydney Children's Hospitals Speciality Network.||http://www.schn.health.nsw.gov.au///^   Services we provide: Cancer, Haematology, Infectious Diseases, Neurology, Paediatrics, Respiratory.  Visiting Hours: Please contact the hospital for the most appropriate visiting times.  Hospital Information: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",www.schn.health.nsw.gov.au
40,Crookwell Community Health Centre,Hospital,18,13 Kialla Road,CROOKWELL,NSW,2583,149.4679871,-34.46420288,"Crookwell Health Service includes an 18 bed hospital delivering emergency care, general medicine, rehabilitation, radiology and social support to local residents. The hospital treats more than 4,500 emergency presentations each year. Services include: Crookwell Health Service includes an eighteen bed hospital that provides various services. Crookwell Health Service is part of ^Southern NSW Local Health District.|| http://www.snswlhd.health.nsw.gov.au//^  Services we provide:  General Medicine  Visiting Hours: 11:00am - 12.30pm and 2:00pm - 8:00pm daily.  Admin Hours: 8am to 5pm Monday to Friday  Hospital personnel: Mona Timo Nurse Manager 02 4832 1300  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.snswlhd.health.nsw.gov.au/
41,Goodooga Health Service,Hospital,0,49 Hammond Street,GOODOOGA,NSW,2838,147.4568939,-29.11159515,Goodooga public hospital provides acute care and general medicine.,http://www.wnswlhd.health.nsw.gov.au/
42,Calvary Kogarah Community Health,Hospital,110.9,91 111 Rocky Point Road,KOGARAH,NSW,2217,151.1365204,-33.97520447,"Calvary hospital is operated by the Little Sisters of Mary and provides care within South Eastern Sydney Illawarra Health Service.  Calvary Health Care Sydney is part of ^ South Eastern Sydney Local Health District.|| http:// www.seslhd.health.nsw.gov.au//^   Services we provide:  Geriatric, Palliative Care, Rehabilitation  Admin Hours: 7:30am to 9pm Monday to Friday 7:30am to 8pm Weekends and Public Holidays  Visiting Hours:  Rehabilitation & Aged Services: 1500-2000  Palliative Care: All day  Hospital personnel: Jan Maree Davis Executive Medical Director 02 9553 3110 Susan Uhlmann Patient Care Representative 02 9553 3536  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.seslhd.health.nsw.gov.au/
43,Long Jetty Health Care Facility,Hospital,21.1,64 Wyong Road,KILLARNEY VALE,NSW,2261,151.4684906,-33.36888504,"Long Jetty Health Care Facility is part of ^ Central Coast Local Health District.|| http://www.cclhd.health.nsw.gov.au//^   Services we provide: Palliative Care  Hospital Personnel: Leanne MacLaren Director of Nursing and Midwifery 02 4336 7705  Visiting Hours: 11am to 8pm  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.cclhd.health.nsw.gov.au/
44,Northside Cremorne Clinic,Hospital,,3 Harrison Street,CREMORNE,NSW,2090,151.2228699,-33.83355331,Service includes hospital services,www.ramsayhealth.com
45,Wingham Community Hospital,Hospital,32,32 Bungay Road,WINGHAM,NSW,2429,152.3661652,-31.87733841,"Wingham Community Hospital is a rehabilitation unit only with 16 beds, providing rehabilitation and dementia specific care for older persons. Health professionals, including a geriatrician, medical officer, nursing and allied health staff, work closely with each person and their family and carers to plan appropriate rehabilitation programs. The hospital also features a hydrotherapy pool.  Patients are admitted by referral from the GP or transfer from other Hospitals  Wingham Community Hospital is part of of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Patients are admitted by referral from the GP or transfer from other Hospitals  Office Hours Listed, Overnight and after hours care available Visiting Hours: Weekdays 10am to 12pm then 2pm to 8pm Weekends 10am to 12pm then 2pm to 7pm  Hospital Personnel: Peter Finlayson Executive Medical Director 02 6767 7700  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",www.hnehealth.nsw.gov.au
46,TINGHA MULTI PURPOSE SERVICE-FIRST AID POST,Hospital,9,"13997, Guyra Road",TINGHA,NSW,2369,151.2062988,-29.9503994,"Tingha MPS provides care to people living in Tingha and the surrounding areas. The MPS has 8 aged care beds and one respite bed, and is a 24-hour first aid post. A range of Aboriginal, primary and community health services are also available.  Tingha MPS is part of ^Hunter New England Local Health District.|| http:// http://www.hnehealth.nsw.gov.au//^   Services we provide:  Tingha MPS provides integrated acute health, nursing homes, hostels, community health and aged care services for the community.   Visiting Hours:  Visiting hours are flexible with a rest period between 1pm and 3pm  Hospital personnel: Jan Harris Health Service Manager 02 6723 3901 Peter Finlayson Executive Medical Director 02 6767 7700   Hospital Information: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",
47,Mercy Care Centre - Young,Hospital,26,69 Demondrille Street,YOUNG,NSW,2594,148.2888031,-34.32119751,"Mercy Care Hospital - Young is part of Murrumbidgee Local Health District.Inpatient Rehabilitation: Mercy Care Centre is a 26 bed, sub-acute hospital. Rehabilitation includes assessment and intervention from an interdisciplinary team to support patients achieve their therapy goals. Services we provide: General Medicine, Geriatric, Haematology, Mental Health, Palliative Care, Rehabilitation, Respiratory, Vascular Surgery.",www.mercyhealth.com.au
48,Boggabri Multi Purpose Service,Hospital,20,3 Wee Waa Street,BOGGABRI,NSW,2382,150.0402374,-30.71165276,"Boggabri John Prior Multi Purpose Service provides a range of acute and community- based services to the community of Boggabri.   These services include an inpatient service, residential aged care including respite, community health, child and family health nurse, 24-hour emergency department, X-ray and inpatient pathology service. The MPS also offers a needle exchange program to the community.  Boggabri Multi-Purpose Service is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Visiting Hours: 11am to 8pm  Hospital personnel: David Quirk Cluster General Manager 02 6757 0000 Peter Finlayson Executive Medical Director 02 6749 7000  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.hnehealth.nsw.gov.au/
49,Delegate Multi purpose Centre,Hospital,13,15 Craigie Street,DELEGATE,NSW,2633,148.9459534,-37.04495621,"NSW Health have advised that this service has been relocated as result of the current bushfire crisis, please call the site before presenting. Delegate Multi Purpose Service is a thirteen bed facility that provides multiple services.  Delegate Multi-Purpose Service is part of ^Southern NSW Local Health District.|| http://www.snswlhd.health.nsw.gov.au//^   Services we provide:  Integrated Acute Health, Nursing Homes, Hostels, Community Health, Aged Care Services.   Visiting Hours: 10:00am – 8:00pm.  Admin Hours: 8am to 4:30pm Monday to Friday  Hospital personnel: Janice Rumph Deputy Nurse Manager 02 6459 8000  Hospital Performance Report: For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",http://www.snswlhd.health.nsw.gov.au/
50,Dubbo Health Service,Hospital,164.5,"Dubbo Health Service, 170 Myall Street",DUBBO,NSW,2830,148.6212463,-32.23911285,Dubbo Public hospital provides acute care and general medicine.,
